,год,ВСЕГО,ЖЕНЩИН,"Незанятые граждане,ищущие работу",РАБОТНИКОВ С/Х,РАБОЧИХ,СЛУЖАЩИХ,Трудоспос. население в трудоспос. Возрасте,освобождено от уг отв,привлечено к уголовной отв
Топчихинский,2019.0,201.0,28.0,82.0,0.0,39.0,1.0,3569.0,67.0,133.0
Третьяковский,2015.0,229.0,23.0,112.0,32.0,53.0,1.0,2392.0,120.0,109.0
Третьяковский,2016.0,222.0,25.0,98.0,13.0,48.0,3.0,2319.0,106.0,116.0
Третьяковский,2017.0,185.0,25.0,91.0,16.0,29.0,0.0,2294.0,76.0,108.0
Третьяковский,2018.0,202.0,26.0,82.0,14.0,50.0,0.0,2123.0,78.0,123.0
Третьяковский,2019.0,150.0,22.0,76.0,1.0,35.0,0.0,2149.0,65.0,85.0
Троицкий,2015.0,243.0,26.0,138.0,0.0,39.0,2.0,4921.0,113.0,130.0
Троицкий,2016.0,189.0,31.0,141.0,0.0,16.0,1.0,4778.0,56.0,133.0
Троицкий,2017.0,189.0,18.0,139.0,2.0,28.0,1.0,4645.0,36.0,153.0
Троицкий,2018.0,147.0,16.0,130.0,0.0,13.0,2.0,4423.0,45.0,102.0
Троицкий,2019.0,124.0,13.0,170.0,0.0,16.0,5.0,4499.0,35.0,89.0
Тюменцевский,2015.0,159.0,19.0,268.0,2.0,35.0,0.0,25086.0,64.0,95.0
Тюменцевский,2016.0,136.0,15.0,254.0,2.0,31.0,0.0,24730.0,43.0,91.0
Тюменцевский,2017.0,134.0,16.0,286.0,0.0,26.0,1.0,24518.0,38.0,96.0
Тюменцевский,2018.0,116.0,18.0,282.0,2.0,22.0,0.0,23917.0,31.0,84.0
Тюменцевский,2019.0,137.0,16.0,334.0,0.0,27.0,1.0,24237.0,56.0,81.0
Усть-Калманский,2015.0,213.0,29.0,180.0,0.0,45.0,0.0,11332.0,79.0,134.0
Усть-Калманский,2016.0,219.0,24.0,175.0,3.0,44.0,0.0,11038.0,77.0,141.0
Усть-Калманский,2017.0,231.0,27.0,186.0,1.0,39.0,0.0,10882.0,87.0,144.0
Усть-Калманский,2018.0,223.0,25.0,197.0,1.0,51.0,2.0,10273.0,76.0,146.0
Усть-Калманский,2019.0,156.0,13.0,198.0,0.0,28.0,4.0,10414.0,61.0,95.0
Усть-Пристанский,2015.0,164.0,26.0,101.0,6.0,25.0,1.0,6813.0,72.0,92.0
Усть-Пристанский,2016.0,156.0,15.0,96.0,5.0,25.0,2.0,6536.0,52.0,104.0
Усть-Пристанский,2017.0,145.0,12.0,108.0,1.0,15.0,0.0,6339.0,43.0,100.0
Усть-Пристанский,2018.0,121.0,15.0,113.0,8.0,27.0,0.0,5932.0,29.0,92.0
Усть-Пристанский,2019.0,118.0,15.0,129.0,5.0,21.0,6.0,5984.0,38.0,79.0
